Code,Module,School
DSCY10060,"Energy, Climate Change & Policy",EEE
EEEN10010,Electronic and Electrical Engineering I,EEE
EEEN10020,Robotics Design Project,EEE
EEEN20010,Computer Engineering,EEE
EEEN20020,Electrical and Electronic Circuits,EEE
EEEN20030,Electromagnetic Fields,EEE
EEEN20040,Electronic Circuits,EEE
EEEN20050,Digital Electronics: from gate to system,EEE
EEEN20060,Communication Systems,EEE
EEEN20070,Solid State Devices,EEE
EEEN20090,Electrical Energy Systems,EEE
EEEN30020,Circuit Theory,EEE
EEEN30030,Electromagnetic Waves,EEE
EEEN30050,Signal Processing: Theory and Applications,EEE
EEEN30060,Communication Theory,EEE
EEEN30070,Power System Engineering,EEE
EEEN30090,Electrical Machines,EEE
EEEN30110,Signals and Systems,EEE
EEEN30120,Analogue Electronics,EEE
EEEN30150,Modelling and Simulation,EEE
EEEN30160,Biomedical Signal Processing,EEE
EEEN30180,Bioinstrumentation,EEE
EEEN30190,Digital System Design,EEE
EEEN30220,Prof Eng Project (Electrical),EEE
EEEN30230,Professional Engineering Project (Electronic),EEE
EEEN30240,Professional Biomed Project,EEE
EEEN40010,Control Theory,EEE
EEEN40050,Wireless Systems,EEE
EEEN40060,Digital Communications,EEE
EEEN40070,Neural Engineering,EEE
EEEN40080,Power System Operation,EEE
EEEN40090,Power System Design,EEE
EEEN40100,Power Electronics and Drives,EEE
EEEN40110,Renewable Energy Systems,EEE
EEEN40120,Applications of Power Electronics,EEE
EEEN40130,Advanced Signal Processing,EEE
EEEN40150,Radio-Frequency Electronics,EEE
EEEN40160,ME Biomed Prof Work Exp Short,EEE
EEEN40170,ME Biomed Prof. Work Exp. Long,EEE
EEEN40180,ME Electrical Power Professional Work Experience (short),EEE
EEEN40190,ME Electrical Power Professional Work Experience (long),EEE
EEEN40200,ME Prof. Work Exp. (Short),EEE
EEEN40210,ME Prof. Work Exp. (Long),EEE
EEEN40220,ME Biomed Project,EEE
EEEN40240,ME Elec&Comp Eng Project,EEE
EEEN40260,ME Electrical Project,EEE
EEEN40280,Digital & Embedded Systems,EEE
EEEN40290,MEngSc Project,EEE
EEEN40300,Entrepreneurship in Engineering,EEE
EEEN40310,Power Electronics Technology ,EEE
EEEN40350,Rehabilitation Engineering,EEE
EEEN40360,ME Elect Energy Project,EEE
EEEN40550,Power System Dynamics and Control,EEE
EEEN40570,Analogue Integrated Circuits,EEE
EEEN40580,Optimisation Techniques for Engineers,EEE
EEEN40600,Mixed-Signal Integrated Circuits,EEE
EEEN40620,Biomedical Imaging,EEE
EEEN40630,Optical Engineering ,EEE
EEEN40650,ME Project (Optical),EEE
EEEN40660,Experimental Design and Statistics for Engineers,EEE
EEEN40670,MEngSc Optical Project,EEE
EEEN40680,Intro. to Quantum Computing,EEE
EEEN40700,MEngSc Electrical Project,EEE
EEEN40710,Engineering Research Skills & Pedagogy,EEE
EEEN50070,Industrial Research I,EEE
EEEN50080,Industrial Research II,EEE
CVEN10040,Creativity in Design,CE
CVEN10050,Intro to Civil & Envir Eng,CE
CVEN10060,The Engineering and Architecture of Structures 1,CE
CVEN20010,Mechanics of Solids,CE
CVEN20030,Environmental Engineering Fundamentals,CE
CVEN20040,The Engineering & Architecture of Structures 2,CE
CVEN20070,Computer Applications in Civil Engineering,CE
CVEN20080,Construction Materials,CE
CVEN20110,Geotechnics 1,CE
CVEN20120,Construction Practice,CE
CVEN20130,Hydraulics I,CE
CVEN20140,Design and Communications,CE
CVEN30010,Geotechnics 2,CE
CVEN30020,Analysis of Structures 1,CE
CVEN30040,Design of Structures 1,CE
CVEN30060,Hydraulics II,CE
CVEN30090,Professional Engineering for Civil and Structural Engineers,CE
CVEN30100,The Engineering and Architecture of Structures 3,CE
CVEN30110,Introduction to Transportation and Traffic Engineering,CE
CVEN30160,Group Design Project,CE
CVEN30170,Analysis of Structures 2,CE
CVEN30380,Group Design Project,CE
CVEN30390,Group Design Project 1,CE
CVEN30400,Group Design Project 2,CE
CVEN40050,Design of Structures 3,CE
CVEN40060,Transport Modelling,CE
CVEN40070,Water & Wastewater Treatment Processes,CE
CVEN40080,Hydraulic Engineering Design,CE
CVEN40120,Bridge Engineering,CE
CVEN40130,Work Placement,CE
CVEN40190,Engineering Report,CE
CVEN40210,Geotechnics 4,CE
CVEN40220,Introduction to Water Resources Engineering 1,CE
CVEN40250,Specialist Studies IB,CE
CVEN40360,Specialist Studies 1B,CE
CVEN40380,Specialist Studies 3B,CE
CVEN40390,Innovation Leadership,CE
CVEN40500,Engineering Design Project,CE
CVEN40550,Structural Dynamics,CE
CVEN40570,Water Waste and Environmental Modelling,CE
CVEN40590,Environmental Research Project,CE
CVEN40600,Structural Research Project,CE
CVEN40610,Advanced Materials,CE
CVEN40620,Water Resources Eng 1 ,CE
CVEN40690,Civil Engineering Systems,CE
CVEN40710,Highway Engineering,CE
CVEN40720,Geotechnics 3,CE
CVEN40730,Professional Work Experience,CE
CVEN40750,Engineering Research Project,CE
CVEN40760,Case Studies,CE
CVEN40770,Analysis of Structures 3,CE
CVEN40780,Design of Structures 2,CE
CVEN40790,Structural Research Proj,CE
CVEN40800,Environmental Research Proj,CE
CVEN40810,Engineering Report 2,CE
CVEN40820,Engineering Report 1,CE
CVEN40830,Applied Hydrology,CE
CVEN40840,Sustainable and Nature Based Water Infrastructure,CE
CHEN10010,Chemical Engineering Process Principles,CBE
CHEN10040,Intro. to Eng. Computing,CBE
CHEN20020,Chemical & Bioprocess Engineering Measurement,CBE
