,Description,Timing,Open Book Exam,Component Scale,Must Pass Component,% of Final Grade,Assessment Type,Module Code,Scaled % of Final Grade,Work Type,Level,Credits,School,Module Coordinator,Semester,Enrolled Students 22/23,Stage,Student Credits,Assessment Credits
0,Fieldwork: Fieldwork on campus related to campus sustainability planning and developments. Students will be assigned to groups. Progress will be tracked via journals(written/audio/video/photo) as agreed in class,Throughout the Trimester,,Graded,No,30,Fieldwork,DSCY10060,30,In person,1,5.0,Electrical & Electronic Eng,Professor Andrew Keane,Spring,37,,55.5,1.5
1,Presentation: In class presentation of group project fieldwork and assigned project topic,Week 12,,Graded,No,30,Presentation,DSCY10060,30,In person,1,5.0,Electrical & Electronic Eng,Professor Andrew Keane,Spring,37,,55.5,1.5
2,Multiple Choice Questionnaire: Online Multiple choice quiz at the end of the four module sections.,Throughout the Trimester,,Standard conversion grade scale 40%,No,40,Multiple Choice Questionnaire,DSCY10060,40,Blended,1,5.0,Electrical & Electronic Eng,Professor Andrew Keane,Spring,37,,74.0,2.0
3,Examination: 2 HOUR Examination,2 hour End of Trimester Exam,No,Alternative linear conversion grade scale 40%,No,65,Examination,EEEN10010,65,In person,1,5.0,Electrical & Electronic Eng,Assoc Professor Simon Kelly,Autumn,298,,968.5,3.25
4,"Lab Report: Two in-person labs will be run , with an online quiz to test understanding",Varies over the Trimester,,Alternative linear conversion grade scale 40%,No,10,Lab Report,EEEN10010,10,Blended,1,5.0,Electrical & Electronic Eng,Assoc Professor Simon Kelly,Autumn,298,,149.0,0.5
5,"Continuous Assessment: 3 Online quizzes: 1) circuit analysis (Approximately week 6, worth 5%), 2) circuit analysis and electromagnetics (Approx week 8, worth 10%), 3) digital electronics (approx week 11, worth 10%)",Varies over the Trimester,,Alternative linear conversion grade scale 40%,No,25,Continuous Assessment,EEEN10010,25,At home,1,5.0,Electrical & Electronic Eng,Assoc Professor Simon Kelly,Autumn,298,,372.5,1.25
6,"Class Test: A midterm examination of relevant topics in electronic, mechanical and software engineering",Week 7,,Alternative linear conversion grade scale 40%,No,25,Class Test,EEEN10020,25,In person,1,5.0,Electrical & Electronic Eng,Dr Paul Cuffe,Spring,39,,48.75,1.25
7,"Assignment: Various design, programming and simulation exercises.",Throughout the Trimester,,Graded,No,75,Assignment,EEEN10020,75,At home,1,5.0,Electrical & Electronic Eng,Dr Paul Cuffe,Spring,39,,146.25,3.75
8,Assignment: Lab Programming Assignments,Varies over the Trimester,,Graded,No,40,Assignment,EEEN20010,40,At home,2,5.0,Electrical & Electronic Eng,Professor Mark Flanagan,Autumn,148,,296.0,2.0
9,Examination: End of Trimester written exam,2 hour End of Trimester Exam,No,Alternative linear conversion grade scale 40%,No,60,Examination,EEEN20010,60,In person,2,5.0,Electrical & Electronic Eng,Professor Mark Flanagan,Autumn,148,,444.0,3.0
10,Lab Report: Laboratories,Varies over the Trimester,,Graded,No,20,Lab Report,EEEN20020,20,Blended,2,5.0,Electrical & Electronic Eng,Professor Peter Kennedy,Autumn,261,,261.0,1.0
11,Examination: In-class examination,Week 6,Yes,Standard conversion grade scale 40%,No,20,Examination,EEEN20020,20,In person,2,5.0,Electrical & Electronic Eng,Professor Peter Kennedy,Autumn,261,,261.0,1.0
12,Examination: Final examination,2 hour End of Trimester Exam,Yes,Standard conversion grade scale 40%,No,40,Examination,EEEN20020,40,In person,2,5.0,Electrical & Electronic Eng,Professor Peter Kennedy,Autumn,261,,522.0,2.0
13,Assignment: Homeworks,Varies over the Trimester,,Standard conversion grade scale 40%,No,20,Assignment,EEEN20020,20,At home,2,5.0,Electrical & Electronic Eng,Professor Peter Kennedy,Autumn,261,,261.0,1.0
14,Assignment: Homework assignments,Throughout the Trimester,,Standard conversion grade scale 40%,No,30,Assignment,EEEN20030,30,At home,2,5.0,Electrical & Electronic Eng,Dr Reza Nikandish,Spring,137,,205.5,1.5
15,Examination: Final exam,2 hour End of Trimester Exam,Yes,Standard conversion grade scale 40%,No,70,Examination,EEEN20030,70,In person,2,5.0,Electrical & Electronic Eng,Dr Reza Nikandish,Spring,137,,479.5,3.5
16,Lab Report: Laboratory Exercises,Unspecified,,Graded,No,20,Lab Report,EEEN20040,20,Blended,2,5.0,Electrical & Electronic Eng,Dr Teerachot Siriburanon,Spring,109,,109.0,1.0
17,Examination: Mid-term Exam,Unspecified,No,Standard conversion grade scale 40%,No,10,Examination,EEEN20040,10,In person,2,5.0,Electrical & Electronic Eng,Dr Teerachot Siriburanon,Spring,109,,54.5,0.5
18,"Continuous Assessment: Homework, In-Class or Online Tests, Tutorials and Attendance",Varies over the Trimester,,Graded,No,20,Continuous Assessment,EEEN20040,20,At home,2,5.0,Electrical & Electronic Eng,Dr Teerachot Siriburanon,Spring,109,,109.0,1.0
19,Examination: End of Semester Exam,2 hour End of Trimester Exam,No,Standard conversion grade scale 40%,No,50,Examination,EEEN20040,50,In person,2,5.0,Electrical & Electronic Eng,Dr Teerachot Siriburanon,Spring,109,,272.5,2.5
20,Assignment: Home assignments and small projects.,Varies over the Trimester,,Standard conversion grade scale 40%,No,30,Assignment,EEEN20050,30,At home,2,5.0,Electrical & Electronic Eng,Professor Anding Zhu,Autumn,101,,151.5,1.5
21,Examination: Final exam,2 hour End of Trimester Exam,No,Standard conversion grade scale 40%,No,30,Examination,EEEN20050,30,In person,2,5.0,Electrical & Electronic Eng,Professor Anding Zhu,Autumn,101,,151.5,1.5
22,Lab Report: laboratory work,Throughout the Trimester,,Standard conversion grade scale 40%,No,30,Lab Report,EEEN20050,30,Blended,2,5.0,Electrical & Electronic Eng,Professor Anding Zhu,Autumn,101,,151.5,1.5
23,Examination: Mid-term in-class exam,Week 5,No,Standard conversion grade scale 40%,No,10,Examination,EEEN20050,10,In person,2,5.0,Electrical & Electronic Eng,Professor Anding Zhu,Autumn,101,,50.5,0.5
24,Continuous Assessment: A series of 5 online quizzes at intervals during the trimester. Details will be provided on Brightspace.,Throughout the Trimester,,Standard conversion grade scale 40%,No,10,Continuous Assessment,EEEN20060,10,At home,2,5.0,Electrical & Electronic Eng,Mr Brian Mulkeen,Spring,100,,50.0,0.5
25,"Continuous Assessment: A series of practical assignments, assessed on reports and code submitted. The weight of each assignment and the deadline for submission will be provided on Brightspace.",Throughout the Trimester,,Graded,No,30,Continuous Assessment,EEEN20060,30,At home,2,5.0,Electrical & Electronic Eng,Mr Brian Mulkeen,Spring,100,,150.0,1.5
26,Examination: Written examination with invigilation. Students may consult one folder of notes and one textbook during the examination.,2 hour End of Trimester Exam,Yes,Standard conversion grade scale 40%,No,60,Examination,EEEN20060,60,In person,2,5.0,Electrical & Electronic Eng,Mr Brian Mulkeen,Spring,100,,300.0,3.0
27,Assignment: Assignments,Throughout the Trimester,,Standard conversion grade scale 40%,No,30,Assignment,EEEN20070,30,At home,2,5.0,Electrical & Electronic Eng,Dr Reza Nikandish,Autumn,113,,169.5,1.5
28,Examination: Final exam,2 hour End of Trimester Exam,Yes,Standard conversion grade scale 40%,No,70,Examination,EEEN20070,70,In person,2,5.0,Electrical & Electronic Eng,Dr Reza Nikandish,Autumn,113,,395.5,3.5
29,Class Test: Class Test,Week 7,,Graded,No,20,Class Test,EEEN20090,20,In person,2,5.0,Electrical & Electronic Eng,Professor Federico Milano,Spring,190,,190.0,1.0
30,Lab Report: Laboratory reports,Varies over the Trimester,,Graded,No,10,Lab Report,EEEN20090,10,Blended,2,5.0,Electrical & Electronic Eng,Professor Federico Milano,Spring,190,,95.0,0.5
31,Continuous Assessment: Continuous assessment based on Jupyter Notebooks and Google forms,Throughout the Trimester,,Graded,No,10,Continuous Assessment,EEEN20090,10,At home,2,5.0,Electrical & Electronic Eng,Professor Federico Milano,Spring,190,,95.0,0.5
32,Examination: Final exam,2 hour End of Trimester Exam,No,Graded,No,60,Examination,EEEN20090,60,In person,2,5.0,Electrical & Electronic Eng,Professor Federico Milano,Spring,190,,570.0,3.0
33,"Continuous Assessment: Homework, In-Class or Online Tests, Tutorials and Attendance",Varies over the Trimester,,Graded,No,30,Continuous Assessment,EEEN30020,30,At home,3,5.0,Electrical & Electronic Eng,Dr Teerachot Siriburanon,Autumn,57,,85.5,1.5
34,Examination: Final Examination,2 hour End of Trimester Exam,No,Standard conversion grade scale 40%,No,50,Examination,EEEN30020,50,In person,3,5.0,Electrical & Electronic Eng,Dr Teerachot Siriburanon,Autumn,57,,142.5,2.5
35,Lab Report: Laboratories,Unspecified,,Graded,No,20,Lab Report,EEEN30020,20,Blended,3,5.0,Electrical & Electronic Eng,Dr Teerachot Siriburanon,Autumn,57,,57.0,1.0
36,"Examination: Written exam, invigilated",2 hour End of Trimester Exam,No,Standard conversion grade scale 40%,No,75,Examination,EEEN30030,75,In person,3,5.0,Electrical & Electronic Eng,Mr Brian Mulkeen,Spring,66,,247.5,3.75
37,Class Test: Written exam during the trimester,Week 7,,Standard conversion grade scale 40%,No,25,Class Test,EEEN30030,25,In person,3,5.0,Electrical & Electronic Eng,Mr Brian Mulkeen,Spring,66,,82.5,1.25
38,Class Test: Mid-term in-class test,Week 7,,Standard conversion grade scale 40%,No,10,Class Test,EEEN30050,10,In person,3,5.0,Electrical & Electronic Eng,Dr Nam Tran,Spring,66,,33.0,0.5
39,Examination: Terminal written examination,2 hour End of Trimester Exam,No,Standard conversion grade scale 40%,No,50,Examination,EEEN30050,50,In person,3,5.0,Electrical & Electronic Eng,Dr Nam Tran,Spring,66,,165.0,2.5
40,Assignment: Signal processing exercises,Week 10,,Graded,No,20,Assignment,EEEN30050,20,At home,3,5.0,Electrical & Electronic Eng,Dr Nam Tran,Spring,66,,66.0,1.0
41,Lab Report: 3 lab reports,Varies over the Trimester,,Graded,No,20,Lab Report,EEEN30050,20,Blended,3,5.0,Electrical & Electronic Eng,Dr Nam Tran,Spring,66,,66.0,1.0
42,Examination: End of term exam,2 hour End of Trimester Exam,No,Alternative linear conversion grade scale 40%,No,70,Examination,EEEN30060,70,In person,3,5.0,Electrical & Electronic Eng,Dr Barry Cardiff,Spring,38,,133.0,3.5
43,Lab Report: Standard laboratory reports.Joint report for teams of 2 students,Varies over the Trimester,,Alternative linear conversion grade scale 40%,No,30,Lab Report,EEEN30060,30,Blended,3,5.0,Electrical & Electronic Eng,Dr Barry Cardiff,Spring,38,,57.0,1.5
44,Assignment: Power flow based assignment (Part 1 + Part 2),Varies over the Trimester,,Graded,No,20,Assignment,EEEN30070,20,At home,3,5.0,Electrical & Electronic Eng,Assoc Professor Damian Flynn,Spring,17,,17.0,1.0
45,Examination: 2 hour end of trimester examination,2 hour End of Trimester Exam,No,Graded,No,70,Examination,EEEN30070,70,In person,3,5.0,Electrical & Electronic Eng,Assoc Professor Damian Flynn,Spring,17,,59.5,3.5
46,Class Test: Class test,Week 7,,Graded,No,10,Class Test,EEEN30070,10,In person,3,5.0,Electrical & Electronic Eng,Assoc Professor Damian Flynn,Spring,17,,8.5,0.5
47,Class Test: Class Test 2: Questions cover all material discussed from week 3 to week 8.,Week 9,,Standard conversion grade scale 40%,No,10,Class Test,EEEN30090,10,In person,3,5.0,Electrical & Electronic Eng,Hamed Heydari-Doostabad,Autumn,12,,6.0,0.5
48,Assignment: Assignment 1,Varies over the Trimester,,Alternative linear conversion grade scale 40%,No,5,Assignment,EEEN30090,5,At home,3,5.0,Electrical & Electronic Eng,Hamed Heydari-Doostabad,Autumn,12,,3.0,0.25
49,Class Test: Class Test 1: Questions cover all material discussed from week 1 to week 2.,Week 3,,Standard conversion grade scale 40%,No,5,Class Test,EEEN30090,5,In person,3,5.0,Electrical & Electronic Eng,Hamed Heydari-Doostabad,Autumn,12,,3.0,0.25
50,Lab Report: 3 reports on lab experiments,Varies over the Trimester,,Standard conversion grade scale 40%,No,25,Lab Report,EEEN30090,25,Blended,3,5.0,Electrical & Electronic Eng,Hamed Heydari-Doostabad,Autumn,12,,15.0,1.25
51,Assignment: Assignment 2,Varies over the Trimester,,Alternative linear conversion grade scale 40%,No,5,Assignment,EEEN30090,5,At home,3,5.0,Electrical & Electronic Eng,Hamed Heydari-Doostabad,Autumn,12,,3.0,0.25
52,Examination: Final exam,2 hour End of Trimester Exam,No,Standard conversion grade scale 40%,No,50,Examination,EEEN30090,50,In person,3,5.0,Electrical & Electronic Eng,Hamed Heydari-Doostabad,Autumn,12,,30.0,2.5
53,Lab Report: 3 laboratory reports,Varies over the Trimester,,Graded,No,100,Lab Report,EEEN30110,100,Blended,3,5.0,Electrical & Electronic Eng,Assoc Professor Paul Curran,Autumn,72,,360.0,5.0
54,Continuous Assessment: A series of online quizzes with analogue electronic design and analysis questions.,Varies over the Trimester,,Standard conversion grade scale 40%,No,10,Continuous Assessment,EEEN30120,10,At home,3,5.0,Electrical & Electronic Eng,Assoc Professor Terence O'Donnell,Spring,49,,24.5,0.5
